task_id,task_description,target_environment,ability_dimension,difficulty,target_entity_id,task_template,structure_variant,num_assertions,verifier_executed
task_0001,"In GitLab, find the issue whose title is file upload 413. Add a comment containing ""added reproduction steps"".",gitlab,Memory,L1,gitlab_issue_018,comment_issue,memory_L1_lookup_direct_ref,1,not_executed
task_0006,"In GitLab, find the issue with IID 71. Add the ""security"" label.",gitlab,Memory,L2,gitlab_issue_006,add_label_to_issue,memory_L2_lookup_single_condition,1,not_executed
task_0011,"In GitLab, find the issue with IID 8 and whose state is open. Add the ""frontend"" label.",gitlab,Memory,L3,gitlab_issue_007,add_label_to_issue,memory_L3_lookup_multi_condition,1,not_executed
task_0016,"In GitLab, find the issue whose state is closed and whose labels is performance. Add the ""regression"" label.",gitlab,Memory,L4,gitlab_issue_024,add_label_to_issue,memory_L4_tracked_locator_exclusion_condition,1,not_executed
task_0021,"In GitLab, find the issue whose title is audit log missing events and whose state is closed and whose assignee username is qa_bob. Add a comment containing ""needs regression test"".",gitlab,Memory,L5,gitlab_issue_033,comment_issue,memory_L5_tracked_locator_ranking_or_recent,1,not_executed
task_0028,"In the shopping site, find the product variant whose product name is Aeno capri. Add it to the cart with quantity 1.",shopping,Memory,L1,shopping_variant_018,add_to_cart,memory_L1_lookup_direct_ref,1,not_executed
task_0031,"In the shopping site, find the product variant whose product name is floor lamp. Add it to the cart with quantity 1.",shopping,Memory,L2,shopping_variant_003,add_to_cart,memory_L2_lookup_single_condition,1,not_executed
task_0034,"In the shopping site, find the product variant whose product name is floor lamp and whose material is spandex. Add it to the cart with quantity 1.",shopping,Memory,L3,shopping_variant_003,add_to_cart,memory_L3_lookup_multi_condition,1,not_executed
task_0037,"In the shopping site, find the product whose category is electronics and whose product name is Circe's products. Write a 4-star review containing ""comfortable"".",shopping,Memory,L4,shopping_product_037,write_review,memory_L4_tracked_locator_multi_condition,1,not_executed
task_0041,"In the shopping site, find the product whose category is clothing and whose product name is Aeon capri and with has reviews set to false. Write a 3-star review containing ""average performance"".",shopping,Memory,L5,shopping_product_013,write_review,memory_L5_tracked_locator_exclusion_condition,1,not_executed
task_0045,"In the forum, find the post whose post id is 17445. Add a comment containing ""definitely worth checking out"".",forum,Memory,L1,forum_post_022,comment_post,memory_L1_lookup_direct_ref,1,not_executed
task_0047,"In the forum, find the post whose title is science breakthrough news. Add a comment containing ""I would check public transit options first"".",forum,Memory,L2,forum_post_011,comment_post,memory_L2_lookup_single_condition,1,not_executed
task_0049,"In the forum, find the community whose aliases is nyc forum and whose post count is 1. Create a post with a title containing ""public transit updates"" and a body containing ""looking for recommendations"".",forum,Memory,L3,forum_community_009,create_post,memory_L3_lookup_multi_condition,1,not_executed
task_0051,"In the forum, find the community whose aliases is personal finances and whose community name is personalfinance. Create a post with a title containing ""weekend hiking trails"" and a body containing ""looking for recommendations"". Add a comment containing ""great suggestion thanks"".",forum,Memory,L4,forum_community_019,create_and_comment_post,memory_L4_tracked_locator_multi_condition,2,not_executed
task_0053,"In the forum, find the community whose post count is 4 and whose community name is movies and whose aliases is /f/movies. Create a post with a title containing ""neighborhood safety"" and a body containing ""family friendly"". Add a comment containing ""definitely worth checking out"".",forum,Memory,L5,forum_community_006,create_and_comment_post,memory_L5_tracked_locator_ranking_or_recent,2,not_executed
task_0058,"In the CMS admin, find the page whose url key is privacy-policy. Create a page with a title containing ""shipping updates"" and a body containing ""loyalty program now available"".",cms_admin,Memory,L1,cms_page_004,create_page,memory_L1_lookup_direct_ref,1,not_executed
task_0060,"In the CMS admin, find the page whose status is draft. Edit the page body so it contains ""new store hours starting next month"".",cms_admin,Memory,L2,cms_page_007,edit_page,memory_L2_lookup_single_condition,1,not_executed
task_0062,"In the CMS admin, find the page whose status is published and whose page title is terms and conditions. Create a page with a title containing ""customer support"" and a body containing ""30-day return window"".",cms_admin,Memory,L3,cms_page_005,create_page,memory_L3_lookup_multi_condition,1,not_executed
task_0064,"In the CMS admin, find the page whose status is published and whose page title is FAQ. Create a page with a title containing ""returns help center"" and a body containing ""free shipping on orders over fifty dollars"". Publish the page.",cms_admin,Memory,L4,cms_page_010,create_and_publish_page,memory_L4_tracked_locator_exclusion_condition,2,not_executed
task_0066,"In the CMS admin, find the page whose status is draft and whose page title is new arrivals promo and whose content type is cms_page. Create a page with a title containing ""holiday sale"" and a body containing ""loyalty program now available"". Publish the page.",cms_admin,Memory,L5,cms_page_008,create_and_publish_page,memory_L5_tracked_locator_multi_condition,2,not_executed
task_0068,"In GitLab, find the issue whose title is accessibility audit. Close the issue.",gitlab,Long-horizon,L1,gitlab_issue_023,close_issue,long_horizon_L1_single_action_direct_ref,1,not_executed
task_0073,"In GitLab, find the issue whose state is closed. Reopen the issue.",gitlab,Long-horizon,L2,gitlab_issue_031,reopen_issue,long_horizon_L2_single_action_single_condition,1,not_executed
task_0078,"In GitLab, find the issue whose state is open and whose title is mobile layout broken; then find the issue with IID 316. For the issue titled mobile layout broken: Add a comment containing ""performance regression noted"". For the issue titled mobile layout broken: Add the ""security"" label. For the issue titled mobile layout broken: Close the issue. For the issue #316: Reopen the issue. For the issue #316: Assign the issue to qa_bob.",gitlab,Long-horizon,L3,gitlab_issue_016,comment_label_close_issue,long_horizon_L3_two_step_chain_multi_condition,5,not_executed
task_0083,"In GitLab, find the issue with IID 719; then find the issue whose state is open and whose labels is backend, ux, question. For the issue #719: Reopen the issue. For the issue #719: Assign the issue to qa_bob. For the issue with state open: Add a comment containing ""requires security audit"". For the issue with state open: Add the ""documentation"" label. For the issue with state open: Close the issue.",gitlab,Long-horizon,L4,gitlab_issue_002,reopen_and_assign,long_horizon_L4_two_step_chain_single_condition,5,not_executed
task_0088,"In GitLab, find the issue whose state is open and whose labels is devops, frontend; then find the issue with IID 566 and whose state is open; then find the issue whose state is closed and whose labels is enhancement, help needed, documentation. For the issue with state open: Add a comment containing ""confirmed as duplicate"". For the issue with state open: Assign the issue to ericwbailey. For the issue with state open: Close the issue. For the issue #566: Add a comment containing ""triaged for backend team"". For the issue #566: Assign the issue to byteblaze. For the issue #566: Close the issue. For the issue with state closed: Reopen the issue. For the issue with state closed: Add a comment containing ""needs retry logic"". For the issue with state closed: Add the ""high-priority"" label.",gitlab,Long-horizon,L5,gitlab_issue_021,comment_assign_close,long_horizon_L5_multi_action_chain_exclusion_condition,9,not_executed
task_0093,"In the shopping site, find the product variant whose product name is a cat t-shirt. Add it to the cart with quantity 1.",shopping,Long-horizon,L1,shopping_variant_011,add_to_cart,long_horizon_L1_single_action_direct_ref,1,not_executed
task_0096,"In the shopping site, find the product variant whose product name is a cat t-shirt. Add it to the cart with quantity 1.",shopping,Long-horizon,L2,shopping_variant_010,add_to_cart,long_horizon_L2_single_action_single_condition,1,not_executed
task_0099,"In the shopping site, find the product whose category is video games and whose product name is blue Cronus yoga pants with size 33; then find the product whose category is cell phones and whose product name is a mattress foundation. For the product named blue Cronus yoga pants with size 33: Add it to the cart with quantity 1. For the product named blue Cronus yoga pants with size 33: Write a 2-star review containing ""below average durability"". For the product named a mattress foundation: Add it to the cart with quantity 1. For the product named a mattress foundation: Write a 4-star review containing ""good value"".",shopping,Long-horizon,L3,shopping_product_023,cart_and_review,long_horizon_L3_two_step_chain_multi_condition,4,not_executed
task_0102,"In the shopping site, find the product whose product name is Amazon Kitchen, Beef & Broccoli Stir-Fry, No-Prep Kit for 2, 27 oz; then find the product whose product name is Antonia racer tank. For the product named Amazon Kitchen, Beef & Broccoli Stir-Fry, No-Prep Kit for 2, 27 oz: Add it to the cart with quantity 1. For the product named Amazon Kitchen, Beef & Broccoli Stir-Fry, No-Prep Kit for 2, 27 oz: Update the cart quantity to 3. For the product named Amazon Kitchen, Beef & Broccoli Stir-Fry, No-Prep Kit for 2, 27 oz: Write a 4-star review containing ""comfortable"". For the product named Antonia racer tank: Add it to the cart with quantity 1. For the product named Antonia racer tank: Update the cart quantity to 2. For the product named Antonia racer tank: Write a 5-star review containing ""excellent quality"".",shopping,Long-horizon,L4,shopping_product_016,cart_update_review,long_horizon_L4_two_step_chain_direct_ref,6,not_executed
